title,imdbid,year,rating,BUDGET,passed,adj_budget
"SpongeBob SquarePants Movie, The",345950,2004,3,30000000.0,True,46477766.0137639
A Separate Peace,328400,2004,0,4600000.0,False,7126590.78877713
Before the Fall,384369,2004,1,4500000.0,False,6971664.902064583
Mindhunters,297284,2004,1,27000000.0,False,41829989.4123875
Dirty Dancing: Havana Nights,338096,2004,3,25000000.0,True,38731471.67813657
"Punisher, The",330793,2004,1,33000000.0,False,51125542.61514028
Blade: Trinity,359013,2004,3,65000000.0,True,100701826.36315511
"Passion of the Christ, The",335345,2004,3,30000000.0,True,46477766.0137639
In my country,349260,2004,3,12000000.0,True,18591106.405505557
Soul Plane,367085,2004,3,16000000.0,True,24788141.87400741
Walking Tall,351977,2004,1,56000000.0,False,86758496.55902593
Confessions of Teenage Drama Queen,361467,2004,3,15000000.0,True,23238883.00688195
EuroTrip,356150,2004,1,25000000.0,False,38731471.67813657
Tremors 4: The Legend Begins,334541,2004,3,5000000.0,True,7746294.335627315
Thunderbirds,167456,2004,3,57000000.0,True,88307755.4261514
Garfield,356634,2004,0,50000000.0,False,77462943.35627314
Hotel Rwanda,395169,2004,2,17500000.0,False,27112030.1746956
Seed of Chucky,387575,2004,3,12000000.0,True,18591106.405505557
Batman Begins,372784,2005,1,150000000.0,False,224773425.4992319
Sin City,401792,2005,3,40000000.0,True,59939580.13312851
"Hitchhiker&#39;s Guide to the Galaxy, The",371724,2005,1,50000000.0,False,74924475.16641064
V for Vendetta,434409,2005,3,54000000.0,True,80918433.17972349
Robots,358082,2005,1,75000000.0,False,112386712.74961595
Walk the Line,358273,2005,3,28000000.0,True,41957706.093189955
Serenity,379786,2005,3,39000000.0,True,58441090.6298003
Assault on Precinct 13,398712,2005,3,30000000.0,True,44954685.099846385
Kiss Kiss Bang Bang,373469,2005,1,15000000.0,False,22477342.549923193
Jarhead,418763,2005,0,72000000.0,False,107891244.23963131
Transamerica,407265,2005,3,1000000.0,True,1498489.503328213
Herbie Fully Loaded,400497,2005,3,50000000.0,True,74924475.16641064
Joyeux No&euml;l,424205,2005,0,22000000.0,False,32966769.073220678
Junebug,418773,2005,3,1000000.0,True,1498489.503328213
Man of the House,331933,2005,3,40000000.0,True,59939580.13312851
"Descent, The",435625,2005,3,3500000.0,True,5244713.261648744
Thank You for Smoking,427944,2005,1,6500000.0,False,9740181.771633383
Hard Candy,424136,2005,3,950000.0,True,1423565.0281618023
"Good Night, and Good Luck.",433383,2005,1,7000000.0,False,10489426.523297489
Hide and Seek,382077,2005,3,30000000.0,True,44954685.099846385
"Island, The",399201,2005,3,126000000.0,True,188809677.41935483
Brick,393109,2005,1,475000.0,False,711782.5140809012
Conversations with Other Women,435623,2005,0,450000.0,False,674320.2764976957
Star Wars: Episode III - Revenge of the Sith,121766,2005,1,113000000.0,False,169329313.87608805
King Kong,360717,2005,0,207000000.0,False,310187327.18894005
North Country,395972,2005,3,35000000.0,True,52447132.61648744
Oliver Twist,380599,2005,1,50000000.0,False,74924475.16641064
"40 Year Old Virgin, The",405422,2005,3,26000000.0,True,38960727.08653353
"Skeleton Key, The",397101,2005,3,43000000.0,True,64435048.643113144
Broken Flowers,412019,2005,3,10000000.0,True,14984895.033282127
"Legend of Zorro, The",386140,2005,1,75000000.0,False,112386712.74961595
War of the Worlds,407304,2005,3,132000000.0,True,197800614.4393241
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",363771,2005,3,180000000.0,True,269728110.5990783
Saw II,432348,2005,3,4000000.0,True,5993958.013312852
Angel-A,473753,2005,0,15000000.0,False,22477342.549923193
Doom,419706,2005,1,60000000.0,False,89909370.19969277
Kingdom of Heaven,320661,2005,0,130000000.0,False,194803635.43266767
"New World, The",402399,2005,3,30000000.0,True,44954685.099846385
Corpse Bride,121164,2005,3,40000000.0,True,59939580.13312851
Just Like Heaven,425123,2005,3,58000000.0,True,86912391.19303633
AEon Flux,402022,2005,3,62000000.0,True,92906349.2063492
"Constant Gardener, The",387131,2005,3,25000000.0,True,37462237.58320532
"Squid and the Whale, The",367089,2005,2,1500000.0,False,2247734.2549923193
